,file_name,flight,image,date,mean_red,sd_red,mean_green,sd_green,mean_blue,sd_blue
0,2019_Feb_06_Phantom_Flight_1_181_HSV_V_fixed,1,181,2019:02:06 10:04:44,21.15,21.86,30.22,25.88,10.7,14.26
0,2019_Feb_06_Phantom_Flight_1_261_HSV_V_fixed,1,261,2019:02:06 10:07:28,19.65,22.86,30.64,25.63,9.87,15.57
0,2019_Feb_06_Phantom_Flight_1_313_HSV_V_fixed,1,313,2019:02:06 10:09:12,17.26,22.48,31.38,26.19,8.4,14.72
0,2019_Feb_06_Phantom_Flight_2_498_HSV_V_fixed,2,498,2019:02:06 09:54:23,21.85,22.66,32.16,26.98,12.98,16.22
0,2019_Feb_06_Phantom_Flight_2_403_HSV_V_fixed,2,403,2019:02:06 09:51:13,20.51,21.25,31.35,26.52,13.27,16.07
0,2019_Feb_06_Phantom_Flight_1_388_HSV_V_fixed,1,388,2019:02:06 10:11:42,17.24,22.91,31.04,26.35,8.3,15.26
0,2019_Feb_06_Phantom_Flight_4_39_HSV_V_fixed,4,39,2019:02:06 10:46:46,19.06,22.75,31.1,26.19,13.24,17.72
0,2019_Feb_06_Phantom_Flight_3_131_HSV_V_fixed,3,131,2019:02:06 10:27:21,17.16,23.07,31.35,25.95,8.68,15.77
0,2019_Feb_06_Phantom_Flight_4_112_HSV_V_fixed,4,112,2019:02:06 10:49:12,21.52,24.25,31.2,26.28,13.68,18.75
0,2019_Feb_06_Phantom_Flight_2_229_HSV_V_fixed,2,229,2019:02:06 09:45:21,17.28,22.64,31.47,26.15,9.89,16.28
0,2019_Feb_06_Phantom_Flight_5_171_HSV_V_fixed,5,171,2019:02:06 11:08:41,19.1,23.38,31.29,26.39,13.16,18.5
0,2019_Feb_06_Phantom_Flight_4_189_HSV_V_fixed,4,189,2019:02:06 10:51:46,19.74,23.44,31.19,26.08,11.96,17.61
0,2019_Feb_06_Phantom_Flight_4_269_HSV_V_fixed,4,269,2019:02:06 10:54:26,17.9,22.74,31.31,26.38,11.71,17.53
0,2019_Feb_06_Phantom_Flight_5_291_HSV_V_fixed,5,291,2019:02:06 11:12:41,19.4,23.07,30.99,26.31,12.61,17.71
0,2019_Feb_06_Phantom_Flight_2_152_HSV_V_fixed,2,152,2019:02:06 09:42:47,16.88,21.57,31.92,25.97,8.88,14.96
0,2019_Feb_06_Phantom_Flight_2_69_HSV_V_fixed,2,69,2019:02:06 09:39:59,20.02,23.57,31.57,26.74,11.37,16.74
0,2019_Feb_06_Phantom_Flight_2_366_HSV_V_fixed,2,366,2019:02:06 09:49:59,22.02,23.72,31.48,26.2,13.71,17.9
0,2019_Feb_06_Phantom_Flight_5_74_HSV_V_fixed,5,74,2019:02:06 11:05:27,19.47,22.3,31.91,26.64,13.2,17.38
0,2019_Feb_06_Phantom_Flight_4_326_HSV_V_fixed,4,326,2019:02:06 10:56:20,15.41,21.13,31.7,26.45,9.29,15.23
0,2019_Feb_06_Phantom_Flight_1_476_HSV_V_fixed,1,476,2019:02:06 10:14:40,21.3,23.43,31.05,26.35,11.23,16.54
0,2019_Feb_06_Phantom_Flight_3_305_HSV_V_fixed,3,305,2019:02:06 10:33:09,20.53,23.23,31.91,26.65,12.09,17.17
0,2019_Feb_06_Phantom_Flight_5_237_HSV_V_fixed,5,237,2019:02:06 11:10:53,21.5,23.93,31.28,25.8,14.4,19.06
0,2019_Feb_06_Phantom_Flight_2_214_HSV_V_fixed,2,214,2019:02:06 09:44:51,18.82,23.48,31.57,26.28,10.33,16.52
0,2019_Feb_06_Phantom_Flight_3_277_HSV_V_fixed,3,277,2019:02:06 10:32:13,19.94,22.2,30.63,26.0,11.39,15.91
0,2019_Feb_06_Phantom_Flight_4_254_HSV_V_fixed,4,254,2019:02:06 10:53:56,16.73,22.53,31.23,26.49,11.32,17.58
0,2019_Feb_06_Phantom_Flight_3_197_HSV_V_fixed,3,197,2019:02:06 10:29:33,18.03,22.65,31.08,25.72,9.57,15.44
0,2019_Feb_06_Phantom_Flight_2_54_HSV_V_fixed,2,54,2019:02:06 09:39:29,22.43,24.58,30.92,26.18,13.25,18.37
0,2019_Feb_06_Phantom_Flight_1_504_HSV_V_fixed,1,504,2019:02:06 10:15:36,21.87,23.78,30.95,26.32,11.45,16.53
0,2019_Feb_06_Phantom_Flight_3_82_HSV_V_fixed,3,82,2019:02:06 10:25:43,17.22,23.6,31.57,25.48,8.91,16.35
0,2019_Feb_06_Phantom_Flight_5_49_HSV_V_fixed,5,49,2019:02:06 11:04:37,20.02,22.93,31.29,26.35,13.96,18.18
0,2019_Feb_06_Phantom_Flight_3_338_HSV_V_fixed,3,338,2019:02:06 10:34:15,18.96,21.71,31.56,26.25,10.52,15.13
0,2019_Feb_06_Phantom_Flight_1_369_HSV_V_fixed,1,369,2019:02:06 10:11:04,17.28,23.52,30.83,25.95,8.13,15.52
0,2019_Feb_06_Phantom_Flight_1_226_HSV_V_fixed,1,226,2019:02:06 10:06:14,21.2,22.88,31.58,26.81,10.9,15.12
0,2019_Feb_06_Phantom_Flight_2_444_HSV_V_fixed,2,444,2019:02:06 09:52:35,22.56,23.62,31.72,26.91,14.0,17.4
0,2019_Feb_06_Phantom_Flight_1_354_HSV_V_fixed,1,354,2019:02:06 10:10:34,16.72,23.38,31.19,25.49,8.06,15.3
0,2019_Feb_06_Phantom_Flight_1_280_HSV_V_fixed,1,280,2019:02:06 10:08:06,18.11,22.4,31.28,25.83,8.49,14.43
0,2019_Feb_06_Phantom_Flight_1_160_HSV_V_fixed,1,160,2019:02:06 10:04:02,21.92,23.13,30.14,26.04,10.84,15.34
0,2019_Feb_06_Phantom_Flight_1_431_HSV_V_fixed,1,431,2019:02:06 10:13:10,18.16,22.98,31.58,26.36,8.79,15.17
0,2019_Feb_06_Phantom_Flight_5_33_HSV_V_fixed,5,33,2019:02:06 11:04:05,17.92,22.55,30.97,26.35,12.45,17.67
0,2019_Feb_06_Phantom_Flight_3_342_HSV_V_fixed,3,342,2019:02:06 10:34:23,18.83,21.6,31.43,26.24,10.42,14.95
0,2019_Feb_06_Phantom_Flight_2_321_HSV_V_fixed,2,321,2019:02:06 09:48:29,20.51,24.27,30.73,25.67,11.38,17.57
0,2019_Feb_06_Phantom_Flight_3_63_HSV_V_fixed,3,63,2019:02:06 10:25:05,17.33,23.78,31.56,26.47,8.8,16.42
0,2019_Feb_06_Phantom_Flight_5_302_HSV_V_fixed,5,302,2019:02:06 11:13:03,18.73,22.63,31.32,26.57,11.92,17.16
0,2019_Feb_06_Phantom_Flight_5_136_HSV_V_fixed,5,136,2019:02:06 11:07:31,19.06,23.25,31.32,26.42,12.64,17.8
0,2019_Feb_06_Phantom_Flight_2_115_HSV_V_fixed,2,115,2019:02:06 09:41:33,18.1,23.57,32.67,26.95,9.77,16.88
0,2019_Feb_06_Phantom_Flight_3_176_HSV_V_fixed,3,176,2019:02:06 10:28:51,17.01,22.29,31.63,26.55,8.79,14.9
0,2019_Feb_06_Phantom_Flight_4_155_HSV_V_fixed,4,155,2019:02:06 10:50:38,19.48,22.87,31.79,26.57,12.68,17.14
0,2019_Feb_06_Phantom_Flight_3_296_HSV_V_fixed,3,296,2019:02:06 10:32:51,20.44,22.82,31.11,25.75,11.83,16.79
0,2019_Feb_06_Phantom_Flight_2_387_HSV_V_fixed,2,387,2019:02:06 09:50:41,23.53,23.18,31.76,26.27,15.13,17.28
0,2019_Feb_06_Phantom_Flight_5_95_HSV_V_fixed,5,95,2019:02:06 11:06:09,19.0,23.49,30.97,26.14,12.48,18.23
0,2019_Feb_06_Phantom_Flight_1_497_HSV_V_fixed,1,497,2019:02:06 10:15:22,22.0,24.04,31.33,26.54,11.47,16.58
0,2019_Feb_06_Phantom_Flight_3_230_HSV_V_fixed,3,230,2019:02:06 10:30:39,21.05,23.65,30.85,25.54,12.02,17.39
0,2019_Feb_06_Phantom_Flight_2_128_HSV_V_fixed,2,128,2019:02:06 09:41:59,19.77,24.34,30.81,26.19,11.08,17.73
0,2019_Feb_06_Phantom_Flight_4_213_HSV_V_fixed,4,213,2019:02:06 10:52:34,18.4,23.17,31.23,26.52,11.28,17.43
0,2019_Feb_06_Phantom_Flight_4_288_HSV_V_fixed,4,288,2019:02:06 10:55:04,18.78,23.04,31.07,26.43,12.42,17.63
0,2019_Feb_06_Phantom_Flight_4_43_HSV_V_fixed,4,43,2019:02:06 10:46:54,18.86,22.55,31.46,26.5,12.72,17.35
0,2019_Feb_06_Phantom_Flight_5_270_HSV_V_fixed,5,270,2019:02:06 11:11:59,19.25,23.31,31.39,26.35,13.18,18.47
0,2019_Feb_06_Phantom_Flight_2_88_HSV_V_fixed,2,88,2019:02:06 09:40:37,18.6,23.92,31.46,25.49,9.61,15.87
0,2019_Feb_06_Phantom_Flight_5_190_HSV_V_fixed,5,190,2019:02:06 11:09:19,18.89,23.17,31.58,26.6,12.33,18.01
0,2019_Feb_06_Phantom_Flight_2_253_HSV_V_fixed,2,253,2019:02:06 09:46:11,19.54,24.36,31.2,26.38,11.48,18.03
0,2019_Feb_06_Phantom_Flight_4_168_HSV_V_fixed,4,168,2019:02:06 10:51:04,18.91,22.45,31.47,26.16,12.34,16.99
0,2019_Feb_06_Phantom_Flight_5_254_HSV_V_fixed,5,254,2019:02:06 11:11:27,19.52,23.63,31.87,26.43,13.36,18.33
0,2019_Feb_06_Phantom_Flight_4_67_HSV_V_fixed,4,67,2019:02:06 10:47:42,19.82,23.74,31.53,26.45,13.02,18.09
0,2019_Feb_06_Phantom_Flight_2_197_HSV_V_fixed,2,197,2019:02:06 09:44:17,19.11,24.06,31.21,26.09,10.56,17.45
0,2019_Feb_06_Phantom_Flight_2_277_HSV_V_fixed,2,277,2019:02:06 09:47:01,18.88,23.27,31.23,26.31,11.22,17.22
0,2019_Feb_06_Phantom_Flight_3_214_HSV_V_fixed,3,214,2019:02:06 10:30:07,18.86,22.95,30.72,25.75,10.49,16.4
0,2019_Feb_06_Phantom_Flight_4_237_HSV_V_fixed,4,237,2019:02:06 10:53:22,17.13,22.98,31.57,26.89,11.09,17.72
0,2019_Feb_06_Phantom_Flight_2_37_HSV_V_fixed,2,37,2019:02:06 09:38:55,22.11,23.56,31.0,26.51,12.28,16.27
0,2019_Feb_06_Phantom_Flight_2_338_HSV_V_fixed,2,338,2019:02:06 09:49:03,18.96,22.41,31.51,26.11,10.77,16.19
0,2019_Feb_06_Phantom_Flight_1_428_HSV_V_fixed,1,428,2019:02:06 10:13:04,17.48,22.3,32.03,26.23,8.29,14.19
0,2019_Feb_06_Phantom_Flight_2_91_HSV_V_fixed,2,91,2019:02:06 09:40:43,18.56,23.61,31.33,25.82,9.46,15.65
0,2019_Feb_06_Phantom_Flight_5_269_HSV_V_fixed,5,269,2019:02:06 11:11:57,19.34,23.45,31.83,26.01,13.31,18.55
0,2019_Feb_06_Phantom_Flight_4_291_HSV_V_fixed,4,291,2019:02:06 10:55:10,19.32,23.75,31.13,26.71,12.94,18.14
0,2019_Feb_06_Phantom_Flight_3_152_HSV_V_fixed,3,152,2019:02:06 10:28:03,18.42,24.05,32.27,25.92,9.85,16.95
0,2019_Feb_06_Phantom_Flight_4_171_HSV_V_fixed,4,171,2019:02:06 10:51:10,19.45,23.11,31.37,26.12,12.68,17.46
0,2019_Feb_06_Phantom_Flight_5_189_HSV_V_fixed,5,189,2019:02:06 11:09:17,19.35,23.35,32.12,26.89,12.63,18.2
0,2019_Feb_06_Phantom_Flight_5_112_HSV_V_fixed,5,112,2019:02:06 11:06:43,18.14,22.96,31.62,26.31,11.67,17.61
0,2019_Feb_06_Phantom_Flight_3_229_HSV_V_fixed,3,229,2019:02:06 10:30:37,21.15,24.05,31.28,26.01,12.21,17.81
0,2019_Feb_06_Phantom_Flight_2_131_HSV_V_fixed,2,131,2019:02:06 09:42:05,19.61,24.12,31.76,26.52,10.73,17.15
0,2019_Feb_06_Phantom_Flight_2_305_HSV_V_fixed,2,305,2019:02:06 09:47:57,19.91,23.76,31.77,26.44,10.85,16.79
0,2019_Feb_06_Phantom_Flight_5_326_HSV_V_fixed,5,326,2019:02:06 11:13:51,21.26,24.54,30.81,26.08,13.66,19.34
0,2019_Feb_06_Phantom_Flight_3_47_HSV_V_fixed,3,47,2019:02:06 10:24:33,14.55,22.28,32.14,25.74,7.1,14.43
0,2019_Feb_06_Phantom_Flight_5_5_HSV_V_fixed,5,5,2019:02:06 11:03:09,18.58,22.47,31.46,26.11,11.33,17.07
0,2019_Feb_06_Phantom_Flight_5_17_HSV_V_fixed,5,17,2019:02:06 11:03:33,19.43,23.49,30.87,26.08,13.38,18.42
0,2019_Feb_06_Phantom_Flight_1_415_HSV_V_fixed,1,415,2019:02:06 10:12:38,17.84,22.75,31.71,26.14,8.06,14.46
0,2019_Feb_06_Phantom_Flight_3_366_HSV_V_fixed,3,366,2019:02:06 10:35:11,19.47,22.71,31.44,26.1,11.14,16.49
0,2019_Feb_06_Phantom_Flight_1_144_HSV_V_fixed,1,144,2019:02:06 10:03:30,20.64,22.63,31.15,26.15,9.46,14.14
0,2019_Feb_06_Phantom_Flight_1_370_HSV_V_fixed,1,370,2019:02:06 10:11:06,16.97,23.28,30.4,25.71,7.98,15.27
0,2019_Feb_06_Phantom_Flight_3_403_HSV_V_fixed,3,403,2019:02:06 10:36:25,19.76,22.78,30.81,26.29,11.15,16.29
0,2019_Feb_06_Phantom_Flight_2_460_HSV_V_fixed,2,460,2019:02:06 09:53:07,21.46,23.53,31.6,26.65,13.9,17.95
0,2019_Feb_06_Phantom_Flight_1_202_HSV_V_fixed,1,202,2019:02:06 10:05:26,22.25,22.71,30.94,26.61,11.99,15.6
0,2019_Feb_06_Phantom_Flight_1_299_HSV_V_fixed,1,299,2019:02:06 10:08:44,19.04,23.61,31.57,26.21,9.21,15.78
0,2019_Feb_06_Phantom_Flight_2_512_HSV_V_fixed,2,512,2019:02:06 09:54:51,21.47,22.48,31.22,27.21,12.93,16.2
0,2019_Feb_06_Phantom_Flight_1_179_HSV_V_fixed,1,179,2019:02:06 10:04:40,21.9,22.53,31.41,26.26,10.97,14.82
0,2019_Feb_06_Phantom_Flight_3_387_HSV_V_fixed,3,387,2019:02:06 10:35:53,19.29,22.46,31.03,26.91,11.01,15.82
0,2019_Feb_06_Phantom_Flight_4_190_HSV_V_fixed,4,190,2019:02:06 10:51:48,19.25,22.79,30.45,25.34,11.7,17.25
0,2019_Feb_06_Phantom_Flight_3_253_HSV_V_fixed,3,253,2019:02:06 10:31:25,20.19,22.92,31.04,26.29,11.63,16.78
0,2019_Feb_06_Phantom_Flight_5_168_HSV_V_fixed,5,168,2019:02:06 11:08:35,18.57,23.34,30.88,26.17,13.02,18.81
0,2019_Feb_06_Phantom_Flight_2_70_HSV_V_fixed,2,70,2019:02:06 09:40:01,19.8,23.1,31.39,26.11,11.32,16.49
0,2019_Feb_06_Phantom_Flight_5_288_HSV_V_fixed,5,288,2019:02:06 11:12:35,20.45,23.41,31.49,26.54,12.93,17.83
0,2019_Feb_06_Phantom_Flight_4_270_HSV_V_fixed,4,270,2019:02:06 10:54:28,17.52,22.02,30.68,25.6,11.56,17.02
0,2019_Feb_06_Phantom_Flight_3_128_HSV_V_fixed,3,128,2019:02:06 10:27:15,16.71,23.02,31.49,26.11,8.48,15.79
0,2019_Feb_06_Phantom_Flight_4_20_HSV_V_fixed,4,20,2019:02:06 10:46:08,19.35,24.14,31.47,25.96,13.32,19.0
0,2019_Feb_06_Phantom_Flight_5_213_HSV_V_fixed,5,213,2019:02:06 11:10:05,19.71,23.6,30.55,25.76,12.37,17.97
0,2019_Feb_06_Phantom_Flight_2_230_HSV_V_fixed,2,230,2019:02:06 09:45:23,17.13,22.36,31.42,25.89,9.7,15.9
0,2019_Feb_06_Phantom_Flight_1_452_HSV_V_fixed,1,452,2019:02:06 10:13:52,21.31,24.45,31.85,27.15,10.94,17.05
0,2019_Feb_06_Phantom_Flight_4_302_HSV_V_fixed,4,302,2019:02:06 10:55:32,18.88,22.99,31.15,26.45,12.18,17.99
0,2019_Feb_06_Phantom_Flight_5_50_HSV_V_fixed,5,50,2019:02:06 11:04:39,20.08,23.01,30.77,26.15,14.1,18.4
0,2019_Feb_06_Phantom_Flight_3_321_HSV_V_fixed,3,321,2019:02:06 10:33:41,19.1,21.97,30.53,26.07,10.86,15.55
0,2019_Feb_06_Phantom_Flight_2_342_HSV_V_fixed,2,342,2019:02:06 09:49:11,19.16,22.54,30.98,25.6,10.96,16.25
0,2019_Feb_06_Phantom_Flight_5_155_HSV_V_fixed,5,155,2019:02:06 11:08:09,18.83,22.88,31.61,26.24,12.84,18.29
0,2019_Feb_06_Phantom_Flight_2_296_HSV_V_fixed,2,296,2019:02:06 09:47:39,17.87,22.38,31.4,26.36,9.67,15.17
0,2019_Feb_06_Phantom_Flight_2_176_HSV_V_fixed,2,176,2019:02:06 09:43:35,18.79,23.36,31.46,26.4,9.57,15.64
0,2019_Feb_06_Phantom_Flight_4_86_HSV_V_fixed,4,86,2019:02:06 10:48:20,19.3,22.63,31.2,26.19,12.11,16.91
0,2019_Feb_06_Phantom_Flight_3_115_HSV_V_fixed,3,115,2019:02:06 10:26:49,15.34,22.38,31.3,25.77,8.32,15.71
0,2019_Feb_06_Phantom_Flight_4_136_HSV_V_fixed,4,136,2019:02:06 10:50:00,19.83,23.38,31.79,26.62,11.98,17.07
0,2019_Feb_06_Phantom_Flight_2_427_HSV_V_fixed,2,427,2019:02:06 09:52:01,23.07,23.18,30.5,26.03,13.3,15.79
0,2019_Feb_06_Phantom_Flight_1_337_HSV_V_fixed,1,337,2019:02:06 10:10:00,16.12,22.49,31.88,26.19,7.6,14.35
0,2019_Feb_06_Phantom_Flight_1_198_HSV_V_fixed,1,198,2019:02:06 10:05:18,23.1,23.19,31.16,26.51,12.73,16.47
0,2019_Feb_06_Phantom_Flight_1_278_HSV_V_fixed,1,278,2019:02:06 10:08:02,18.82,23.69,32.03,27.23,9.24,15.68
0,2019_Feb_06_Phantom_Flight_1_391_HSV_V_fixed,1,391,2019:02:06 10:11:48,16.77,22.61,31.58,26.06,7.75,14.64
0,2019_Feb_06_Phantom_Flight_1_245_HSV_V_fixed,1,245,2019:02:06 10:06:52,20.81,22.94,31.84,26.32,10.53,15.43
0,2019_Feb_06_Phantom_Flight_1_176_HSV_V_fixed,1,176,2019:02:06 10:04:34,21.5,22.65,31.22,26.52,10.77,14.9
0,2019_Feb_06_Phantom_Flight_1_296_HSV_V_fixed,1,296,2019:02:06 10:08:38,18.54,23.3,31.31,26.24,8.7,15.31
0,2019_Feb_06_Phantom_Flight_2_452_HSV_V_fixed,2,452,2019:02:06 09:52:51,21.52,23.09,31.69,26.34,13.33,17.15
0,2019_Feb_06_Phantom_Flight_1_342_HSV_V_fixed,1,342,2019:02:06 10:10:10,16.05,22.51,32.56,26.17,7.44,14.31
0,2019_Feb_06_Phantom_Flight_1_230_HSV_V_fixed,1,230,2019:02:06 10:06:22,20.94,22.97,31.75,26.88,10.78,15.44
0,2019_Feb_06_Phantom_Flight_4_205_HSV_V_fixed,4,205,2019:02:06 10:52:18,17.66,22.69,31.17,26.41,11.14,17.11
0,2019_Feb_06_Phantom_Flight_3_226_HSV_V_fixed,3,226,2019:02:06 10:30:31,20.46,23.52,30.3,25.68,11.78,17.22
0,2019_Feb_06_Phantom_Flight_5_186_HSV_V_fixed,5,186,2019:02:06 11:09:11,19.88,23.47,32.11,26.5,12.95,18.26
0,2019_Feb_06_Phantom_Flight_2_245_HSV_V_fixed,2,245,2019:02:06 09:45:53,17.17,22.68,31.28,26.27,9.95,16.56
0,2019_Feb_06_Phantom_Flight_4_55_HSV_V_fixed,4,55,2019:02:06 10:47:18,19.29,23.32,31.17,26.04,13.14,18.06
0,2019_Feb_06_Phantom_Flight_5_266_HSV_V_fixed,5,266,2019:02:06 11:11:51,19.94,23.9,31.48,26.03,13.41,18.59
0,2019_Feb_06_Phantom_Flight_3_369_HSV_V_fixed,3,369,2019:02:06 10:35:17,19.39,22.94,31.02,26.26,10.88,16.29
0,2019_Feb_06_Phantom_Flight_2_391_HSV_V_fixed,2,391,2019:02:06 09:50:49,22.31,22.27,31.34,26.14,15.08,17.4
0,2019_Feb_06_Phantom_Flight_5_18_HSV_V_fixed,5,18,2019:02:06 11:03:35,19.46,22.98,30.52,25.27,13.05,17.89
0,2019_Feb_06_Phantom_Flight_3_48_HSV_V_fixed,3,48,2019:02:06 10:24:35,15.2,22.48,31.75,25.63,7.44,14.71
0,2019_Feb_06_Phantom_Flight_5_83_HSV_V_fixed,5,83,2019:02:06 11:05:45,17.53,22.07,31.39,26.12,11.31,16.92
0,2019_Feb_06_Phantom_Flight_1_481_HSV_V_fixed,1,481,2019:02:06 10:14:50,21.45,23.73,30.58,25.79,11.63,16.98
0,2019_Feb_06_Phantom_Flight_5_329_HSV_V_fixed,5,329,2019:02:06 11:13:57,21.4,24.17,31.05,25.96,13.83,18.85
0,2019_Feb_06_Phantom_Flight_2_103_HSV_V_fixed,2,103,2019:02:06 09:41:07,14.88,21.62,31.82,25.95,7.7,14.85
0,2019_Feb_06_Phantom_Flight_2_38_HSV_V_fixed,2,38,2019:02:06 09:38:57,22.43,23.73,31.3,26.28,12.59,16.57
0,2019_Feb_06_Phantom_Flight_4_238_HSV_V_fixed,4,238,2019:02:06 10:53:24,17.54,22.64,31.55,25.99,11.42,18.62
0,2019_Feb_06_Phantom_Flight_5_120_HSV_V_fixed,5,120,2019:02:06 11:06:59,19.06,22.34,31.07,25.68,11.31,16.68
0,2019_Feb_06_Phantom_Flight_2_278_HSV_V_fixed,2,278,2019:02:06 09:47:03,19.14,23.27,31.44,26.24,11.18,17.15
0,2019_Feb_06_Phantom_Flight_4_143_HSV_V_fixed,4,143,2019:02:06 10:50:14,20.62,23.21,31.03,26.0,13.73,18.09
0,2019_Feb_06_Phantom_Flight_3_280_HSV_V_fixed,3,280,2019:02:06 10:32:19,20.39,22.96,30.88,26.66,11.82,16.48
0,2019_Feb_06_Phantom_Flight_3_160_HSV_V_fixed,3,160,2019:02:06 10:28:19,16.88,22.71,31.66,25.95,9.05,15.93
0,2019_Feb_06_Phantom_Flight_2_198_HSV_V_fixed,2,198,2019:02:06 09:44:19,18.93,24.35,30.89,26.29,10.52,17.76
0,2019_Feb_06_Phantom_Flight_4_68_HSV_V_fixed,4,68,2019:02:06 10:47:44,19.33,23.63,31.16,26.43,12.62,17.78
0,2019_Feb_06_Phantom_Flight_3_354_HSV_V_fixed,3,354,2019:02:06 10:34:47,19.83,23.07,31.95,26.57,11.71,17.01
0,2019_Feb_06_Phantom_Flight_1_427_HSV_V_fixed,1,427,2019:02:06 10:13:02,16.94,21.8,30.26,25.71,7.82,13.67
0,2019_Feb_06_Phantom_Flight_5_25_HSV_V_fixed,5,25,2019:02:06 11:03:49,19.33,23.99,31.62,26.53,13.32,18.88
0,2019_Feb_06_Phantom_Flight_3_75_HSV_V_fixed,3,75,2019:02:06 10:25:29,18.67,24.41,31.73,25.62,9.65,17.19
0,2019_Feb_06_Phantom_Flight_5_314_HSV_V_fixed,5,314,2019:02:06 11:13:27,19.89,23.59,31.54,26.31,12.67,18.13
0,2019_Feb_06_Phantom_Flight_2_337_HSV_V_fixed,2,337,2019:02:06 09:49:01,19.06,22.49,31.09,26.22,10.63,16.11
0,2019_Feb_06_Phantom_Flight_1_305_HSV_V_fixed,1,305,2019:02:06 10:08:56,18.61,23.37,31.7,26.11,9.07,15.62
0,2019_Feb_06_Phantom_Flight_2_415_HSV_V_fixed,2,415,2019:02:06 09:51:37,23.51,23.92,31.06,26.73,14.23,17.28
0,2019_Feb_06_Phantom_Flight_1_131_HSV_V_fixed,1,131,2019:02:06 10:03:04,17.85,22.21,30.93,26.48,8.15,13.94
0,2019_Feb_06_Phantom_Flight_1_338_HSV_V_fixed,1,338,2019:02:06 10:10:02,15.97,22.0,31.53,25.67,7.54,13.97
0,2019_Feb_06_Phantom_Flight_2_428_HSV_V_fixed,2,428,2019:02:06 09:52:03,23.78,24.04,31.29,26.92,13.76,16.45
0,2019_Feb_06_Phantom_Flight_1_277_HSV_V_fixed,1,277,2019:02:06 10:08:00,18.31,22.74,31.47,26.0,9.04,15.03
0,2019_Feb_06_Phantom_Flight_1_197_HSV_V_fixed,1,197,2019:02:06 10:05:16,22.84,22.9,30.89,26.33,12.62,16.21
0,2019_Feb_06_Phantom_Flight_3_94_HSV_V_fixed,3,94,2019:02:06 10:26:07,16.3,23.14,31.12,26.23,8.38,15.65
0,2019_Feb_06_Phantom_Flight_4_139_HSV_V_fixed,4,139,2019:02:06 10:50:06,20.21,23.4,30.98,26.18,13.16,18.24
0,2019_Feb_06_Phantom_Flight_2_202_HSV_V_fixed,2,202,2019:02:06 09:44:27,17.94,22.71,31.38,26.21,9.74,15.83
0,2019_Feb_06_Phantom_Flight_5_221_HSV_V_fixed,5,221,2019:02:06 11:10:21,19.22,22.82,32.59,26.32,11.95,17.25
0,2019_Feb_06_Phantom_Flight_4_12_HSV_V_fixed,4,12,2019:02:06 10:45:52,17.19,22.84,31.51,26.01,11.47,17.29
0,2019_Feb_06_Phantom_Flight_4_242_HSV_V_fixed,4,242,2019:02:06 10:53:32,17.61,23.04,30.97,25.89,10.37,16.68
0,2019_Feb_06_Phantom_Flight_3_181_HSV_V_fixed,3,181,2019:02:06 10:29:01,17.51,22.44,31.58,26.0,9.36,15.63
0,2019_Feb_06_Phantom_Flight_4_89_HSV_V_fixed,4,89,2019:02:06 10:48:26,19.04,22.48,30.88,26.32,11.8,16.71
0,2019_Feb_06_Phantom_Flight_2_179_HSV_V_fixed,2,179,2019:02:06 09:43:41,18.32,22.91,31.27,26.07,9.35,15.3
0,2019_Feb_06_Phantom_Flight_2_42_HSV_V_fixed,2,42,2019:02:06 09:39:05,20.26,22.09,31.51,26.1,10.92,15.17
0,2019_Feb_06_Phantom_Flight_2_299_HSV_V_fixed,2,299,2019:02:06 09:47:45,18.74,23.03,31.75,26.67,10.22,16.1
0,2019_Feb_06_Phantom_Flight_3_261_HSV_V_fixed,3,261,2019:02:06 10:31:41,20.48,23.39,31.43,26.44,11.64,16.48
0,2019_Feb_06_Phantom_Flight_3_32_HSV_V_fixed,3,32,2019:02:06 10:24:03,16.73,22.76,32.31,26.48,8.34,15.24
0,2019_Feb_06_Phantom_Flight_3_388_HSV_V_fixed,3,388,2019:02:06 10:35:55,19.44,21.96,31.21,26.23,11.02,15.52
0,2019_Feb_06_Phantom_Flight_2_370_HSV_V_fixed,2,370,2019:02:06 09:50:07,22.38,23.7,31.15,26.85,13.95,17.71
0,2019_Feb_06_Phantom_Flight_3_313_HSV_V_fixed,3,313,2019:02:06 10:33:25,19.31,22.55,30.8,26.23,11.12,16.17
0,2019_Feb_06_Phantom_Flight_5_62_HSV_V_fixed,5,62,2019:02:06 11:05:03,20.14,23.79,31.25,25.74,13.44,18.55
0,2019_Feb_06_Phantom_Flight_4_330_HSV_V_fixed,4,330,2019:02:06 10:56:28,16.34,21.7,31.71,26.57,10.08,15.84
0,2019_Feb_06_Phantom_Flight_1_460_HSV_V_fixed,1,460,2019:02:06 10:14:08,21.75,24.1,31.4,26.59,11.12,16.56
0,2019_Feb_06_Phantom_Flight_4_104_HSV_V_fixed,4,104,2019:02:06 10:48:56,19.57,23.05,31.2,26.54,12.27,17.69
0,2019_Feb_06_Phantom_Flight_3_127_HSV_V_fixed,3,127,2019:02:06 10:27:13,16.95,23.1,31.57,26.41,8.34,15.38
0,2019_Feb_06_Phantom_Flight_5_287_HSV_V_fixed,5,287,2019:02:06 11:12:33,19.74,23.24,30.61,26.29,12.69,17.86
0,2019_Feb_06_Phantom_Flight_2_144_HSV_V_fixed,2,144,2019:02:06 09:42:31,16.31,21.63,30.91,26.05,8.62,15.02
