,file_name,flight,image,date,mean_red,sd_red,mean_green,sd_green,mean_blue,sd_blue
0,2019_Feb_06_Phantom_Flight_1_281_HSV_V_fixed,1,281,2019:02:06 10:08:08,18.43,22.96,31.82,26.22,8.7,14.86
0,2019_Feb_06_Phantom_Flight_1_161_HSV_V_fixed,1,161,2019:02:06 10:04:04,22.92,23.8,31.68,26.72,11.39,15.9
0,2019_Feb_06_Phantom_Flight_2_445_HSV_V_fixed,2,445,2019:02:06 09:52:37,21.9,23.17,31.51,26.87,13.58,17.12
0,2019_Feb_06_Phantom_Flight_1_355_HSV_V_fixed,1,355,2019:02:06 10:10:36,16.17,23.28,30.93,25.62,8.05,15.43
0,2019_Feb_06_Phantom_Flight_5_137_HSV_V_fixed,5,137,2019:02:06 11:07:33,18.9,22.96,31.02,26.23,12.73,17.69
0,2019_Feb_06_Phantom_Flight_2_114_HSV_V_fixed,2,114,2019:02:06 09:41:31,17.43,23.11,31.4,26.34,9.19,16.39
0,2019_Feb_06_Phantom_Flight_3_177_HSV_V_fixed,3,177,2019:02:06 10:28:53,16.89,21.95,31.04,25.9,8.76,14.88
0,2019_Feb_06_Phantom_Flight_4_154_HSV_V_fixed,4,154,2019:02:06 10:50:36,19.31,22.63,31.68,26.12,12.55,16.96
0,2019_Feb_06_Phantom_Flight_3_297_HSV_V_fixed,3,297,2019:02:06 10:32:53,20.07,22.92,30.68,26.09,11.75,16.89
0,2019_Feb_06_Phantom_Flight_5_32_HSV_V_fixed,5,32,2019:02:06 11:04:03,18.45,22.66,31.8,26.64,12.64,17.65
0,2019_Feb_06_Phantom_Flight_1_430_HSV_V_fixed,1,430,2019:02:06 10:13:08,17.91,22.85,31.83,26.61,8.72,14.97
0,2019_Feb_06_Phantom_Flight_3_343_HSV_V_fixed,3,343,2019:02:06 10:34:25,18.7,21.55,30.75,25.96,10.35,14.97
0,2019_Feb_06_Phantom_Flight_2_320_HSV_V_fixed,2,320,2019:02:06 09:48:27,20.01,23.95,31.01,25.46,11.23,17.37
0,2019_Feb_06_Phantom_Flight_5_303_HSV_V_fixed,5,303,2019:02:06 11:13:05,19.11,22.26,31.62,26.12,12.05,16.88
0,2019_Feb_06_Phantom_Flight_3_62_HSV_V_fixed,3,62,2019:02:06 10:25:03,17.38,23.67,31.25,26.46,8.67,16.29
0,2019_Feb_06_Phantom_Flight_3_231_HSV_V_fixed,3,231,2019:02:06 10:30:41,21.18,23.95,31.17,25.69,12.04,17.51
0,2019_Feb_06_Phantom_Flight_4_212_HSV_V_fixed,4,212,2019:02:06 10:52:32,17.89,22.79,31.42,26.41,11.07,17.11
0,2019_Feb_06_Phantom_Flight_2_129_HSV_V_fixed,2,129,2019:02:06 09:42:01,19.53,24.03,30.94,26.48,10.77,17.15
0,2019_Feb_06_Phantom_Flight_4_42_HSV_V_fixed,4,42,2019:02:06 10:46:52,18.47,22.36,31.28,26.06,12.85,17.42
