Label,X,Y,Z
2019_Feb_06_Phantom_Flight_1_181_HSV_V_fixed.JPG,-76.40190211111111,-0.6838530277732895,339.397
2019_Feb_06_Phantom_Flight_1_261_HSV_V_fixed.JPG,-76.40118855555556,-0.6835583333333334,338.19700214132763
2019_Feb_06_Phantom_Flight_1_313_HSV_V_fixed.JPG,-76.40177555555556,-0.6832628888888889,339.09699769053117
2019_Feb_06_Phantom_Flight_2_498_HSV_V_fixed.JPG,-76.40001861111112,-0.6812528333333333,338.503
2019_Feb_06_Phantom_Flight_2_403_HSV_V_fixed.JPG,-76.40393277777778,-0.6841496666666667,342.603
2019_Feb_06_Phantom_Flight_1_388_HSV_V_fixed.JPG,-76.40181024999052,-0.6829652499629135,341.597
2019_Feb_06_Phantom_Flight_4_39_HSV_V_fixed.JPG,-76.40227752777778,-0.6824249444927116,332.83
2019_Feb_06_Phantom_Flight_3_131_HSV_V_fixed.JPG,-76.40317811111112,-0.6817824166555688,348.94
2019_Feb_06_Phantom_Flight_4_112_HSV_V_fixed.JPG,-76.40187247221427,-0.6827794165847263,331.03
2019_Feb_06_Phantom_Flight_2_229_HSV_V_fixed.JPG,-76.40221708333334,-0.6850393333333333,342.7029972752044
2019_Feb_06_Phantom_Flight_5_171_HSV_V_fixed.JPG,-76.40349363892086,-0.6849070555555555,331.78
2019_Feb_06_Phantom_Flight_4_189_HSV_V_fixed.JPG,-76.4011375,-0.6849756389042103,323.03
2019_Feb_06_Phantom_Flight_4_269_HSV_V_fixed.JPG,-76.40066075,-0.6832676944336485,323.83
2019_Feb_06_Phantom_Flight_5_291_HSV_V_fixed.JPG,-76.40227750000001,-0.6849437222222222,327.78
2019_Feb_06_Phantom_Flight_2_152_HSV_V_fixed.JPG,-76.40263166666668,-0.6853346389060675,344.303
2019_Feb_06_Phantom_Flight_2_69_HSV_V_fixed.JPG,-76.40028225,-0.6856304166666667,336.7029972752044
2019_Feb_06_Phantom_Flight_2_366_HSV_V_fixed.JPG,-76.40251552777778,-0.6844437222222223,341.403
